Modelo,Algoritmo,Configuracion,Accuracy,Precision,Recall,F1-Score,ROC-AUC,Error
LR-1,Logistic Regression,"{'C': 0.01, 'solver': 'liblinear', 'max_iter': 1000}",0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.998015873015873,0.03508771929824561
LR-2,Logistic Regression,"{'C': 0.1, 'solver': 'lbfgs', 'max_iter': 1000}",0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9976851851851852,0.01754385964912286
LR-3,Logistic Regression,"{'C': 1.0, 'solver': 'lbfgs', 'max_iter': 1000}",0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,0.03508771929824561
LR-4,Logistic Regression,"{'C': 10.0, 'solver': 'saga', 'max_iter': 1000}",0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9887566137566137,0.02631578947368418
LR-5,Logistic Regression,"{'C': 100.0, 'solver': 'newton-cg', 'max_iter': 1000}",0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.976521164021164,0.052631578947368474
DT-1,Decision Tree,"{'max_depth': 3, 'min_samples_split': 2, 'criterion': 'gini'}",0.9035087719298246,0.9428571428571428,0.7857142857142857,0.8571428571428571,0.875,0.0964912280701754
DT-2,Decision Tree,"{'max_depth': 5, 'min_samples_split': 5, 'criterion': 'gini'}",0.9210526315789473,0.9459459459459459,0.8333333333333334,0.8860759493670886,0.9675925925925927,0.07894736842105265
DT-3,Decision Tree,"{'max_depth': 10, 'min_samples_split': 10, 'criterion': 'entropy'}",0.9298245614035088,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9646164021164021,0.07017543859649122
DT-4,Decision Tree,"{'max_depth': 15, 'min_samples_split': 20, 'criterion': 'gini'}",0.9210526315789473,0.9024390243902439,0.8809523809523809,0.891566265060241,0.9404761904761905,0.07894736842105265
DT-5,Decision Tree,"{'max_depth': None, 'min_samples_split': 2, 'criterion': 'entropy'}",0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.945436507936508,0.04385964912280704
RF-1,Random Forest,"{'n_estimators': 50, 'max_depth': 5, 'min_samples_split': 2}",0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9927248677248677,0.02631578947368418
RF-2,Random Forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5}",0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9937169312169312,0.02631578947368418
RF-3,Random Forest,"{'n_estimators': 200, 'max_depth': 15, 'min_samples_split': 10}",0.9649122807017544,1.0,0.9047619047619048,0.95,0.9947089947089948,0.03508771929824561
RF-4,Random Forest,"{'n_estimators': 300, 'max_depth': 20, 'min_samples_split': 5}",0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089948,0.02631578947368418
RF-5,Random Forest,"{'n_estimators': 500, 'max_depth': None, 'min_samples_split': 2}",0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9943783068783069,0.02631578947368418
SVM-1,Support Vector Machine,"{'C': 0.1, 'kernel': 'linear', 'gamma': 'scale'}",0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9963624338624338,0.01754385964912286
SVM-2,Support Vector Machine,"{'C': 1.0, 'kernel': 'rbf', 'gamma': 'scale'}",0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9947089947089947,0.02631578947368418
SVM-3,Support Vector Machine,"{'C': 10.0, 'kernel': 'rbf', 'gamma': 'auto'}",0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9927248677248677,0.02631578947368418
SVM-4,Support Vector Machine,"{'C': 100.0, 'kernel': 'poly', 'degree': 3, 'gamma': 'scale'}",0.9473684210526315,1.0,0.8571428571428571,0.9230769230769231,0.9788359788359787,0.052631578947368474
SVM-5,Support Vector Machine,"{'C': 1.0, 'kernel': 'sigmoid', 'gamma': 'scale'}",0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9953703703703703,0.052631578947368474
KNN-1,K-Nearest Neighbors,"{'n_neighbors': 3, 'weights': 'uniform', 'metric': 'euclidean'}",0.9385964912280702,0.972972972972973,0.8571428571428571,0.9113924050632911,0.982473544973545,0.06140350877192979
KNN-2,K-Nearest Neighbors,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.982473544973545,0.04385964912280704
KNN-3,K-Nearest Neighbors,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'manhattan'}",0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9958664021164021,0.04385964912280704
KNN-4,K-Nearest Neighbors,"{'n_neighbors': 10, 'weights': 'distance', 'metric': 'euclidean'}",0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9831349206349207,0.052631578947368474
KNN-5,K-Nearest Neighbors,"{'n_neighbors': 15, 'weights': 'distance', 'metric': 'minkowski', 'p': 3}",0.9385964912280702,0.972972972972973,0.8571428571428571,0.9113924050632911,0.9900793650793651,0.06140350877192979
